Check In,Forecasted_Total
2019-06-30,2361.3664578452167
2019-07-07,1854.8830308577285
2019-07-14,1496.757461554077
2019-07-21,1927.8983033824043
2019-07-28,3174.8846423792893
2019-08-04,4473.311694949898
2019-08-11,4896.592092942222
2019-08-18,4187.811847788871
2019-08-25,2960.557519460402
2019-09-01,2100.509810740573
2019-09-08,2012.6812544073634
2019-09-15,2434.6668305945077
2019-09-22,2863.8258694698193
2019-09-29,3038.9790695171596
2019-10-06,3014.665738769701
2019-10-13,2926.159847390334
2019-10-20,2837.6653336428735
2019-10-27,2809.011323025912
2019-11-03,2951.757278742636
2019-11-10,3292.3401240613534
2019-11-17,3617.884279469102
2019-11-24,3600.4634548840477
2019-12-01,3154.0341993597735
2019-12-08,2609.831626382359
2019-12-15,2431.5027911561524
2019-12-22,2730.0589474013823
2019-12-29,3125.1087561391164
2020-01-05,3139.414370317262
2020-01-12,2702.925225034058
2020-01-19,2207.0497349216694
2020-01-26,2061.43807723967
2020-02-02,2263.0192811193347
2020-02-09,2443.9981506030176
2020-02-16,2301.0668379041326
2020-02-23,1902.3692981819522
2020-03-01,1566.396063296619
2020-03-08,1514.2077543228684
2020-03-15,1697.2928506891694
2020-03-22,1922.1889263864527
2020-03-29,2045.5229825149495
2020-04-05,2019.9509568077376
2020-04-12,1837.8935574658078
2020-04-19,1535.366766080247
2020-04-26,1247.6995524672477
2020-05-03,1155.6673612482637
2020-05-10,1300.034575453155
2020-05-17,1481.592758845127
2020-05-24,1451.8327670224144
2020-05-31,1211.1350919211864
2020-06-07,1041.2228008700154
2020-06-14,1164.789882276787
2020-06-21,1416.9204033371075
2020-06-28,1381.9532715638782
2020-07-05,921.20059165258
2020-07-12,484.09196554096366
2020-07-19,754.2702720757873
2020-07-26,1900.0591355918036
2020-08-02,3271.7764809151995
2020-08-09,3904.23617704602
2020-08-16,3380.274375509951
2020-08-23,2183.9348096606423
2020-08-30,1214.764039846544
2020-09-06,999.1230615496867
2020-09-13,1374.7103161358496
2020-09-20,1839.3328335933977
2020-09-27,2069.445452713097
2020-10-04,2084.1180511052007
2020-10-11,2014.6310453336266
2020-10-18,1937.6321738686302
2020-10-25,1905.2497451787929
2020-11-01,2024.4803095847542
2020-11-08,2352.353526847366
2020-11-15,2719.8968463838596
2020-11-22,2795.9847273641717
2020-11-29,2427.1600270698486
2020-12-06,1877.8794310918188
2020-12-13,1628.2670445600957
2020-12-20,1875.4800364480957
2020-12-27,2310.736678359034
2021-01-03,2431.646980870698
2021-01-10,2073.7929962465655
2021-01-17,1568.9759095519078
2021-01-24,1363.9465322552533
2021-01-31,1542.0785358465853
2021-02-07,1774.431786133745
2021-02-14,1713.4016801764717
2021-02-21,1357.2465923314742
2021-02-28,1006.4623610861267
2021-03-07,919.200222363866
2021-03-14,1092.8358091370756
2021-03-21,1343.4419211739637
2021-03-28,1510.043160767394
2021-04-04,1531.7169530239282
2021-04-11,1396.5863049789075
2021-04-18,1128.3807948789424
2021-04-25,843.5830423730041
2021-05-02,726.6294238157518
2021-05-09,855.3496370609732
2021-05-16,1069.1513485899686
2021-05-23,1104.9630033016763
2021-05-30,904.3491762389477
2021-06-06,715.6614003227978
2021-06-13,804.0221777491207
2021-06-20,1080.2287500882358
2021-06-27,1139.744799928613
2021-07-04,756.202924061452
2021-07-11,280.0727751018658
2021-07-18,401.61241741603453
2021-07-25,1429.78734007205
