ID,Group ID,Status,Created,Last Updated,Check In,Check Out,Room,,Nights,Guest,Booking,,Fees,Total,Paid,Owing,,,Booking Source
B4TZF,-,Checked Out,1/8/2022 16:40,1/8/2022 16:40,13/06/2022 15:00,17/06/2022 10:30,Rm 4,,4 Nights,763,120,,0,120,0,120,,,DCC
B4TZE,-,Checked Out,1/8/2022 16:39,3/8/2022 11:56,14/06/2022 15:00,15/06/2022 10:30,Rm 3,,1 Night,764,30,,0,30,0,30,,,VA
B4TZC,-,Checked Out,1/8/2022 16:21,2/8/2022 17:10,8/6/2022 15:00,20/06/2022 10:30,Rm 8,,12 Nights,765,360,,0,360,0,360,,,DCC
B4TZB,-,Checked Out,1/8/2022 16:19,1/8/2022 16:19,14/03/2022 15:00,11/5/2022 10:30,Rm 4,,58 Nights,766,1740,,0,1740,0,1740,,,DCC
B4TZ9,-,Checked Out,1/8/2022 16:16,1/8/2022 16:16,20/05/2022 15:00,9/6/2022 10:30,Rm 6,,20 Nights,767,600,,0,600,0,600,,,DCC
B4TZ8,-,Checked Out,1/8/2022 16:14,2/8/2022 21:36,11/5/2022 15:00,30/05/2022 10:30,Rm 4,,19 Nights,768,570,,0,570,0,570,,,DCC
B4TZ7,-,Checked Out,1/8/2022 16:13,1/8/2022 16:13,9/5/2022 15:00,30/05/2022 10:30,Rm 7,,21 Nights,769,630,,0,630,0,630,,,DCC
B4TZ6,-,Checked Out,1/8/2022 16:07,1/8/2022 16:09,31/03/2022 15:00,22/04/2022 10:30,Rm 8,,22 Nights,770,660,,0,660,0,660,,,DCC
B3K2W,-,Checked Out,6/3/2022 17:39,1/8/2022 16:01,14/02/2022 15:00,21/03/2022 10:30,Rm 8,,35 Nights,771,1050,,0,1050,0,1050,,,EBC
B2P0K,-,Checked Out,14/02/2022 15:24,14/02/2022 15:24,20/01/2022 15:00,8/2/2022 10:30,Rm 8,,19 Nights,772,570,,0,570,0,570,,,DCC
B2NWI,-,Checked Out,9/2/2022 17:26,6/3/2022 17:29,7/2/2022 15:00,15/02/2022 10:30,Rm 4,,8 Nights,773,240,,0,240,0,240,,,EBC
B2NWH,-,Checked Out,9/2/2022 17:20,6/3/2022 17:29,14/12/2021 15:00,15/02/2022 10:30,Rm 6,,63 Nights,774,1890,,0,1890,0,1890,,,DCC
B2MLK,-,Checked Out,26/01/2022 22:44,26/01/2022 22:44,5/1/2022 15:00,14/01/2022 10:30,Rm 8,,9 Nights,775,270,,0,270,0,270,,,DCC
B2MLJ,-,Checked Out,26/01/2022 22:42,26/01/2022 22:45,5/1/2022 15:00,7/1/2022 10:30,Rm 4,,2 Nights,776,60,,0,60,0,60,,,DCC
B2MLH,-,Checked Out,26/01/2022 22:39,10/8/2023 18:23,22/12/2021 15:00,15/08/2022 10:30,Rm 5,,236 Nights,777,7080,,0,7080,0,7080,,,DCC
B2MLG,-,Checked Out,26/01/2022 22:33,9/2/2022 17:19,14/12/2021 15:00,27/01/2022 10:30,Rm 7,,44 Nights,778,1320,,0,1320,0,1320,,,DCC
B2MLF,-,Checked Out,26/01/2022 22:30,26/01/2022 22:30,17/11/2021 15:00,24/11/2021 10:30,Rm 3,,7 Nights,779,210,,0,210,0,210,,,DCC
B2JWX,-,Checked Out,17/11/2021 17:22,17/11/2021 17:22,1/11/2021 15:00,16/11/2021 10:30,Rm 3,,15 Nights,780,450,,0,450,0,450,,,DCC
B2JEJ,-,Checked Out,4/11/2021 9:52,17/11/2021 17:20,3/11/2021 15:00,4/11/2021 10:30,Rm 5,,1 Night,781,30,,0,30,0,30,,,-
B2JB9,-,Checked Out,1/11/2021 17:41,1/8/2022 15:53,15/10/2021 15:00,26/07/2022 10:30,Rm 9,,284 Nights,782,8530,,0,8530,0,8530,,,-
B2JB4,-,Checked Out,1/11/2021 16:38,8/11/2021 11:28,15/10/2021 15:00,19/10/2021 10:30,Rm 8,,4 Nights,783,120,,0,120,0,120,,,-
